tipos,descripcion
ISFJ,"confiable paciente : lugar ofrecer apuro esporádico emocionar dejar coser mediar terminar , meticuloso cuidadoso , adoptar enfocar constante inclinar necesidad situación suficiente lograr objetivo final . asegurar coser hacer alto nivel , sino menudo ir allá requerir ."
ESFJ,"“ anímense , elévense fortalézcanse otro . energía positivo irradiar hacia percibir nosotros . ” personar compartir ser , palabra mejor , popular , sentir , tratar común , representar doce ciento población . escuela secundario , quarterback equipar , establecer pautar , centrar atención dirigir equipo hacia triunfar fama . edad , seguir gustar apoyar amigo ser querido , organizar reunión social hacer posible asegurarse mundo feliz ."
INTJ,"paradoja mayoría observador , capaz vivir evidente contradicción embargar sentir , menos vestir puramente racional . ejemplo , mismo tiempo idealista idealista ácido cínico , conflicto parecer imposible . deber tipo tender creer esforzar , inteligencia consideración , imposible , mientras mismo tiempo creer gente demasiar perezoso , miope egoísta lograr realmente resultar fantástico . embargar , visión cínico realidad probable detener desear lograr resultar considerar importante ."
ESTJ,"consciente entornar vivir mundo hecho claro verificable ; confiar totalmente conocimiento que , incluso fuerte resistencia , aferrar principio sostener claro visión aceptable . opinión tampoco palabra vacío , disponer sumergirse proyecto desafiante , mejorar plan acción ordenar información progresar hacer incluso tarea complicar parecer fácil abordable ."
ISFP,"sensible demás : relacionar fácilmente emocionar demás , ayudándoles establecer armonía bueno voluntad , minimizar conflicto ."
ISFP,"vivir mundo variopinto , sensual , inspirar relacionar personar ideo . aventurero disfrutar reinterpretando conexionar , reinventar experimentar mismo nuevo perspectivo . ninguno explorar experimentar formar . creer sensación espontaneidad hacer parecer impredecible , incluso amigo cercano ser querido ."
ENFP,"probablemente , encontrar cualidad irresistible , si encontrar causar despierto imaginación , aportar energía mucho vez llevar centrar atención , considerar compañero líder gurú , siempre aquí activista , amante independencia , querer estar . aun peor si ver acosar rutinario tarea administrativo mantenimiento generalmente acompañar posición liderazgo . autoestima depender capacidad encontrar solucionar original necesitar saber libertar ser innovador ; poder perder rápidamente paciencia entristecerse si encasillar papel aburrir ."
INFJ,"perfeccionista : defensor definir búsqueda ideal . si bien cualidad maravilloso sentir , situación ideal siempre posible : político , negocio , romance . defensor , especialmente turbulento , menudo abandonar ignorar situación relacionar saludable productivo , siempre creer poder haber mejor opción futuro ."
ISFJ,"imaginativo observador : imaginativo utilizar cualidad accesorio empatía , observar emocional demás ver coser perspectivo . pie firmemente plantar soler , imaginación práctico , aunque encontrar coser bastante fascinante inspirador ."
INTJ,impedir actitud correcto lograr objetivar
ESTJ,"leal , paciente confiable : trabajar ejemplificar veracidad confiabilidad , considerar estabilidad seguridad importante . decir hacer algo , mantener palabra convertir miembro responsable familia , empresa comunidad ."
ENTP,"gustar asunto práctico : debatir interesar ​​en poder ser : concepto maleable ideo plan poder adaptar debatir . tratar detalle concreto ejecución cotidiano , talento creativo innecesario , sino realmente contraproducente , perder interés , menudo consecuencia plan nunca ver luz día ."
INFP,"si cuidar , mediador poder perderse búsqueda bueno descuidar mantenimiento diario exigencia vida . vez cuando , mediador derivar profundo reflexión disfrutar contemplación hipotético filosófico , cualquiera personalidad . si controlar , comenzar perder contactar retirándose “ modo ermitaño ” , requerir gran cantidad energía partir amigo parejo traerlos volver mundo real ."
INTJ,"mente abrir : abrir nuevo ideo siempre discutir bien . personar incluso ( tal vez especialmente ) abrir ideo ir si pensamiento sólido . menudo aplicar apertura independencia pensar asunto estilo vida alternativo . combinar disgustar reglar tradición , fácil ver cómo poder inclinarse hacia punto vestir social tolerante ."
ISTP,"aprender tipo líneo firme norma comportamiento aceptable ; sensible querer escuchar bromar insensible ciertamente hacer uno , participar tontería , incluso aunque grupo disponer . si situación cargar emocional , violar límite tener consecuencia tremendo ."
ISTP,"comportamiento arriesgar : terquedad , dificultar emocionar demás , concentración momento aburrimiento fácil llevar empujar límite innecesario inútil , diversión . saber aumentar conflicto peligrar ver dónde ir , tener consecuencia desastroso si perder control situación ."
ISFJ,"demasiar altruista : ver agravar reforzar maravilloso calidad altruismo defensor . ser personar tan cálido bondadoso , disponer dejar coser pasar , creer coser mejorar pronto , agobiar demás aceptar ofertar ayudar , mientras problema aumentar ayudar ."
INFJ,"extremadamente privar : tender presentarse culminación ideo . deber partir creer ideo , extremadamente privar tratar vida personal . usar imagen evitar tener abrirse realmente , incluso amigo cercano . confiar nuevo amigar ser aun desafiante defensor ."
ENTJ,"expresión emocional fuerte ninguno grupo analista , deber carácter social , distanciar separar emocionar especialmente conocido públicamente , padecer formar directo gran número personar . especialmente entornar profesional , simplemente tolerar personar considerar ineficiente , incompetente vago . individuo comandante , manifestación emocional muestra debilidad , fácil hacer enemigo enfocar : hacer bien recordar depender totalmente tener equipar aptar , lograr objetivo sino sentirse legitimar sentir miembro equipar disponer comunicar opinión , ser , curiosamente , sensible ."
ISTP,"aunque carácter reservar interés cuestionar práctico poder hacer parecer simple simple vestir , realidad enigmático . amable reservar , tranquilo espontáneo mismo tiempo , curioso haberse poder concentrar estudio formal , identificar ser complicar , incluso partir amigo ser querido . poder parecer leal constante tiempo , tender acumular reservar energía impulsivo explotar previo avisar tender llevar interesar hacia direccionar totalmente nuevo ."
INFJ,"creer ayudar demás objetivar vida , mientras personar poder encontrar participar esfuerzo rescatar hacer obrar benéfico , verdadero pasión llegar fondo cuestión personar ser rescatar ."
ESFP,"fácilmente aburrir : emoción constante , artista encontrar formar crearlo mismo . comportamiento arriesgar , autocomplacencia placer momento plan largar plazo coser artista involucrar demasiar frecuencia ."
INFP,"tomar coser personalmente : mediador menudo tomar desafío crítico personalmente , lugar inspirarlos reevaluar posicionar . evitar conflicto posible , mediador dedicar gran cantidad tiempo energía tratar alinear principio crítico mediar satisfacer todo ."
ENTP,"frustrar innovador , ver cómo diversión pendenciero cerrar mucho puerta , mucho vez darse contar , traspasar umbral demás cuestionar creencia dejar lado sentimiento . tratar demás deber hacerlo , innovador gustar mimar personar andar rodeo , pedir favor . individuo sentir respetar visión , confianza , conocimiento agudo humor , menudo dificultad utilizar cualidad basar lograr amistad profundo relacionar romántico ."
ENFJ,"interés protagonista demás sincerar , casi exageración ; creer alguien , poder llegar involucrarse demasiar problema confiar demasiar ellos . suerte , confianza tender ser profecía auto cumplir , altruismo autenticidad inspirar aquel preocupar llegar ser mejorar personar . si cuidar , poder ser demasiar optimista animar ocasionar demás ir allá realmente preparar disponer ir ."
ISTJ,"mente astuto , basar hecho , preferir autonomía autosuficiencia depender alguien algo . creer depender demás debilidad , pasión servicio , dependencia integridad personal impecable prohibir caer trampa ."
ISTJ,"decir ir lograr algo , hacer , cumplir obligación importar coste personal sentir desconcertar personar mantener palabra mismo respetar . combinar vagueza falto honradez manera rápido presenciar lado malo logistas . él , personar menudo preferir trabajar solo menos establecer claramente autoridad jerárquico , poder establecer alcanzar objetivo debatir preocuparse fiabilidad partir ."
ISTJ,relaciónate personar noble si apreciar propio reputación
INFJ,"altruista : fortaleza usar bien . participar ninguno acción promover creencia beneficiarse . fuerte creencia tomar accionar hacer tratar promover ideo realmente creer hacer mundo lugar mejor . sensible : alguien cuestionar criticar principio valorar defensor , probable recibir respuesta alarmantemente fuerte . personar advocate vulnerable crítico conflicto . cuestionar motivo caminar rápido lado malo ."
INTJ,"mente rápido , imaginativo estratégico : enorgullecer mente aprovechar cada oportunidad mejorar conocimiento . mostrar forzar ​​flexibilidad pensamiento estratégico . altamente curioso siempre listo desafiar intelectual , ver coser ángulo diferente . utilizar creatividad planificar posibilidad imprevisto ."
ISTP,"mayor problema probablemente enfrentar actuar menudo demasiar pronto , dar sentar naturaleza permisivo suponer demás igualar . primero contar chistar sensibilidad , involucrarse demasiar proyectar ajeno , pelearse jugar , cambiar plan repente surgir interesante ."
ISFJ,"tomar coser demasiar personalmente : problema separar situación personal impersonal ; después todo , cualquiera situación seguir ser interacción do personar , cualquiera negatividad conflicto crítico trasladarse vida profesional vida personal , viceversa ."
ENTJ,"mal manejar emocionar : todo bravuconada , juntar suponer supremacía racionalismo , hacer distanciar propio expresión emocional y , vez , despreciar demás . personar menudo pisotear sentimiento demás , lastimar inadvertidamente parejo amigo , especialmente situación cargar emocional ."
ESFJ,respetar sabiduría liderazgo
ESFJ,"fondo , criatura social esforzar saber hacer amigo . discutir teoría científico debatir político europeo captar interés tiempo . individuo importar asunto tangible práctico , además mejorar status social observar demás . paso alrededor plato preferir , hacer posible utilizar poder bien ."
INFP,"mediador guiar principio , lógico , excitación practicidad . decidir cómo avanzar , contar aspecto honor , belleza , moralidad virtud ; mediador guiar pureza intención , recompensar castigo . personar orgulloso cualidad razón , mundo entender conllevar sentimiento conducir aislamiento ."
ESFJ,"conciliarse sensibilidad personar mayor desafiar cónsul ; gente ir desacordar ir criticar , aunque doler , partir vida . mejor hacer mejor saber hacer : ser modelar seguir , cuidar mano disfrutar tanto personar realmente apreciar esfuerzo hacer . habilidad práctico sólido : excelente gerente tarea diario mantenimiento rutina , disfrutar asegurarse cercar bien atender ."
ESFJ,"reacio innovar improvisar : asir poder ser crítico comportamiento "" inusual "" demás , poder disponer salir propio zona confort , generalmente temor ser ( o simplemente parecer ) diferente ."
ISTJ,... porque mejor mal acompañar
ESTP,"lleno pasión energía , complementar mente racional , aunque vez distraído . motivador , convincente variopinto , líder natural grupo , llevar mundo caminar menos transitar ofrecer vida entusiasmar querer ir . destinar cualidad fin constructivo gratificante verdadero desafiar emprendedor . negrito : personar lleno vida energía . mayor alegría empujar límite descubrir usar nuevo coser ideo ."
ESFJ,"sensible cálido : ayudar garantizar estabilidad , buscar armonía preocupar profundamente sentimiento personar , cuidar ofender herir nadie . fuerte jugador equipar , situación ganar - ganar hacer sonrisa ."
INTP,valer penar vivir vida examinarla
ENFP,"personar sociable querer agradar , caracterizar carácter visionario , permitir leer líneo curiosidad energía . soler ver vida gran complejo rompecabezas , conectar , diferenciar analista , tender ver rompecabezas seriar maquinación sistémico , ver través prisma emoción , compasión misticismo , siempre buscar significar profundar ."
ISTJ,"tranquilo práctico : ninguno promesa significar si especialista logístico perder estribo desmoronar cualquiera señal dificultar : mantener pie soler tomar decisión claro racional . preferencia personar factor tener contar procesar , especialista logístico trabajar aprovechar máximo cualidad individual , decisión tomar contar eficacia empatía . mismo aplicar crítico , demás mismo ."
INTP,"parecer ir rumbo , soñar fin , procesar pensamiento incesante ideo zumbar mente despertar . pensamiento constante tener efecto hacer ver pensativo distante , mucho vez debatir propio mente , realmente bastante relajar agradable gente conocer compartir interesar . embargar , ser sustituir timidez abrumador individuo encontrar personar desconocido , bromar poder convertirse rápidamente antagonismo agresivo si creer conclusión teoría lógico ser criticar ."
ESTJ,"demandar líder alto sociedad democrático contar representar menos 11 % población , extrañar político empresario famoso mundo ser ejecutivo . sólido creencia derecho , deber ganar , personar predicar ejemplo , demostrar dedicación honestidad rechazar total pereza engañar , trabajar . si alguien declarar trabajar manual durar excelente manera desarrollar carácter , ejecutivo ."
ISTJ,"menudo culpar irrazonablemente mismo : combinarse hacer especialista logístico creer único poder ver proyecto manera confiable . medir cargar trabajar responsabilidad adicional , rechazar bueno intención ideo útil , especialista logístico tardar temprano llegar inflexión simplemente poder cumplir . dar acumular responsabilidad mismo , especialista logístico creer responsabilidad fracasar ellos ."
ISFP,"apasionar : debajo tranquilo timidez latir corazón intensamente . personar atrapar emocionante interesante , poder dejar demás polvo ."
ESFP,"artista nato , encantar mirar , mundo escenario . mucho personar famoso actor , gustar hacer espectáculo amigo , charlar ingeniar único mundano , absorber atención hacer parecer fiesta . sociable , disfrutar coser simple mayor alegría simplemente divertirse bueno grupo amigo ."
INFJ,vivir luchar día
ISFJ,si poder protegerte hacer
ENFP,"independiente fallo : detestar administrar formar microadministrada restringir reglar duro , querer ser ver maestro altamente independiente propio destino , incluso poseedor sabiduría altruista ir allá ley draconiano . desafiar vivir mundo controlar equilibrio , píldora feliz tragar ."
ESFP,"práctico : artista , mundo deber sentirse experimentarse . verdad extraño ficción , artista preferir ver hacer ponerse filosófico "" qué pasar si "" ."
ENTP,"carismático : personar formar palabra ingeniar encontrar intrigante . confianza , pensamiento rápido capacidad conectar ideo disparar formar novedoso creer estilar comunicación encantador , incluso entretener informativo mismo tiempo ."
ISFP,significar cada expresión vida
INFJ,"inspirador convincente : hablar término humano , técnico , estilar escriturar fluir inspirador atraer idealista internar audiencia . poder incluso ser orador asombrosamente bueno , hablar calidez pasión . especialmente cierto si orgulloso hablar ."
INFJ,ayúdame ayudarte
ESTP,"tal vez visión perspicaz filtrar cualquiera tipo , habilidad único percibir pequeño cambio . cambiar expresión facial , nuevo estilar ropa hábito rotar , personar poder darse contar pensamiento motivo oculto , mientras mayoría restar afortunado si poder darse contar algo . utilizar observación inmediato , anunciar cambiar hacer preguntar , mucho vez poco sensibilidad . deber recordar mundo querer publicar secreto decisión ."
ENTP,"capacidad debatir innovador resultar irritante y , aunque mucho vez apreciar necesitar , quedar penosamente interferir u ofender palabra , ejemplo cuestionar abiertamente jefe reunión echar tierra importante decir . complicar aun honestidad inquebrantable innovador , andar rodeo preocupar tratar ser sensible compasivo . individuo similar llevar bastante bien innovador , sensible sociedad general soler ser reacio conflicto preferir sentimiento , comodidad incluso mentira piadoso verdad hiriente duro racionalidad ."
INFP,"creativo : mediador combinar naturaleza visionario mentalidad abrir permitirles ver coser perspectivo convencional . poder conectar punto remoto temer , extrañar mediador poeta autor famoso ."
ENFJ,"gente soler atraer fuerte protagonista irradiar autenticidad , preocupación altruismo , miedo levantarse hablar creer decir . resultar natural fácil comunicarse demás , personalmente , intuición natural ayudar personar llegar todo mente , través hecho fuerte emocionar . protagonista ver fácilmente motivación personar acontecimiento aparentemente inconexo , capaz fusionar ideo comunicarlas objetivar común elocuencia simplemente fascinante ."
ISFP,"“ cambiar cursar día . despertar personar , ir dormir ser certeza personar . ” individuo verdadero artista , necesariamente típico , referir pintar cuadro . embargar , frecuencia , capaz ese . bien utilizar estético , diseñar incluso elección accionar sacar máximo partir convención social . disfrutar alterar expectativa tradicional experimento belleza comportamiento ; probable ocasión decir frase : “ ¡ no encasillar ! ” feliz ser"
ISFJ,"entusiasta : objetivar correcto , tomar apoyar , confiabilidad imaginación aplicar creer marcar diferenciar vida personar , luchar pobreza iniciativo global simplemente alegrar día cliente ."
INFJ,"determinar apasionar : llegar creer importante , perseguir objetivar convicción energía poder pillar desprevenido otro . sacudir botar si deber hacerlo . gustar ver este , pasión causar elegir partir inseparable advocate ."
ISTP,"saber cómo priorizar : flexibilidad venir cierto imprevisibilidad , poder almacenar espontaneidad día lluvioso , liberar energía justar necesitar ."
ESFP,"observador : enfocar aquí ahora , hacer actuar , artista natural hora notar coser cambio real tangible ."
ISFJ,"naturalmente sociable , cualidad extraño personar introvertido , utilizar excelente memoria retener dato trivialidad sino recordar personar detalle vida . tratar ofrecer alguno regalar , inigualable utilizar imaginación sensibilidad natural expresar generosidad formar afectar corazón destinatario . aunque realmente mostrar compañero trabajar , personar menudo considerar amigo personal , familia expresión afectar realmente salir luz ."
INTP,"contrario ser cierto personar explicar proceso pensamiento término subjetividad sentimiento . imaginar mecanismo relojería complejo , coger cada posible hacer ideo , procesar fuerte dosis razonamiento creativo devolver resultar sensato lógicamente hablar ; asir funcionar mente lógico , tolerante llave inglés bloquear máquina ."
ISFP,"demasiar competitivo : poder escalar coser pequeño competencia intenso , rechazar éxito largar plazo búsqueda gloria momento , infeliz perder ."
ESTJ,"principal desafiar reconocer mundo seguir mismo caminar contribuir mismo manera . verdadero líder reconocer forzar individuo , asir grupo , ayudar personar aportar ideo . manera , todo información capaz liderar grupo direccionar útil todo . dedicar : ver coser finalización limitar obligación ético ejecutivo . tarea abandonar simplemente volver difícil aburrir : personar ejecutivo aceptar correcto , terminar siempre seguir ser correcto ."
ENFP,"altamente emocional : si bien expresión emocional saludable natural , incluso ver partir central identidad , ser suficientemente fuerte causar problema personalidad . particularmente bajar estrés , crítico conflicto , poder experimentar explosionar emocional contraproducente mejor caso ."
INFP,"escuchar mucho gente , hablar"
INTJ,"brillante confiar conocimiento llevar tiempo entender , lamentablemente probable acordar social materia . mentira piadoso conversación superficial suficientemente duro anhelar verdad profundidad , poder llegar considerar mucho convención social francamente estúpido . irónicamente , menudo mejor permanecer cómodo , alejar centrar atención , confianza natural predominar trabajar materia resultar familiar servir propio faro atraer gente , romántico no , temperamento interesar similar ."
ISTP,"fácilmente aburrir : disfrutar novedad , hacer excelente manipulador , menos confiable tratar enfocarse coser largar plazo . vez entender algo , tender simplemente pasar nuevo interesante ."
ESTJ,"embargar , trabajar solo esperar fiabilidad ético trabajar recíproco ; personar cumplir promesa si compañero subordinar poner peligrar incompetencia pereza , peor aun , falto honradez , tardar mostrar enfadar . hacer tener reputación personar inflexible , caprichosamente terco sino realmente creer valorar hacer sociedad funcionar ."
INFP,"“ no orar relucir ; vagar perdido ; viejo , si vigoroso , marchito ; raíz profundo afecto helar . ” saber ser , saber poder ser"
ENFP,"observador : creer accionar irrelevante , cada cambiar sentimiento , cada movimiento cada ideo partir grande . satisfacer curiosidad , intentar notar todo coser nunca perder momento ."
ESFJ,"fuerte deber : personar fuerte responsabilidad esforzar cumplir obligación , aunque vez ser expectativa social impulsar intrínseco ."
ESFJ,"servicial extrovertido , fácil descubrir fiesta ; ¡ ser dedicar tiempo charlar reír mundo ! devoción ir allá simplemente allí hacerlo . verdaderamente disfrutar escuchar amigo hablar relacionar actividad , recordar pequeño detalle siempre disponer hablar coser calidez sensibilidad . si coser ir bien tensión salar , percibir tratar restablecer armonía estabilidad grupo ."
ESTJ,"demasiar centrar estatus social : enorgullecer respetar amigo , colega comunidad y , aunque difícil admitir , preocupar opinión público . ( especialmente turbulento ) poder quedar tan atrapar cumplimiento expectativa demás satisfacer propio necesidad ."
ESFJ,"leal : valorar altamente estabilidad seguridad , ansioso preservar status quo , convertir socio emplear extremadamente leal confiable . verdadero pilar cualquiera grupo pertenecer , familia club comunitario , siempre confiar personar personalidad ."
ENFJ,"demasiar desinteresar : protagonista poder enterrarse promesa esperanzador , problema demás propio esforzándose cumplir palabra . si cuidar , poder extenderse demasiar poder ayudar nadie ."
ENTP,"pensador rápido : debatir mente tremendamente flexible poder cambiar ideo esforzar , aprovechar conocimiento acumular probar punto oponente , según considerar conveniente ."
